t,vehicle_id,speed_now,speed_ref,yaw_now,yaw_ref,yaw_err_deg,steer,accel,traj_x,traj_y,s,gap,desired_gap,throttle,brake
0.1,vehicle_0,0.0,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.5078760981559753,1.5,45.119998931884766,170.5399932861328,24.972999572753906,0.0,10.0,0.43814370036125183,0.0
0.1,vehicle_1,0.0,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.31936347484588623,-3.0,35.119998931884766,170.5399932861328,14.972999572753906,5.099999904632568,10.0,0.0,0.6000000238418579
0.2,vehicle_0,0.0006539917085319757,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.5078760981559753,1.4999994039535522,45.119998931884766,170.5399932861328,24.972999572753906,0.0,10.0,0.43815407156944275,0.0
0.2,vehicle_1,0.0005654048873111606,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.31936347484588623,-3.0,35.119998931884766,170.5399932861328,14.972999572753906,5.099999904632568,10.0,0.0,0.6000000238418579
0.1,vehicle_2,0.0,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.16226963698863983,-3.0,25.119998931884766,170.5399932861328,4.9730000495910645,5.099999904632568,10.0,0.0,0.6000000238418579
0.30000000000000004,vehicle_0,0.0019504737574607134,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.5078760981559753,1.4999988079071045,45.119998931884766,170.5399932861328,24.972999572753906,0.0,10.0,0.4381742775440216,0.0
0.30000000000000004,vehicle_1,0.001261587138287723,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.31936347484588623,-3.0,35.119998931884766,170.5399932861328,14.972999572753906,5.099999904632568,10.0,0.0,0.6000000238418579
0.2,vehicle_2,0.000576343503780663,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.16226963698863983,-3.0,25.119998931884766,170.5399932861328,4.9730000495910645,5.099999904632568,10.0,0.0,0.6000000238418579
0.4,vehicle_0,0.00032279014703817666,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.5078760981559753,1.5000001192092896,45.119998931884766,170.5399932861328,24.972999572753906,0.0,10.0,0.43814852833747864,0.0
0.4,vehicle_1,0.0001312255917582661,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.31936347484588623,-2.4933550357818604,35.119998931884766,170.5399932861328,14.972999572753906,5.099999904632568,10.0,0.0,0.4986710250377655
0.30000000000000004,vehicle_2,6.979019235586748e-05,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.16226963698863983,-3.0,25.119998931884766,170.5399932861328,4.9730000495910645,5.099999904632568,10.0,0.0,0.6000000238418579
