t,state,route,x0,y0,yaw0,v0,s0,x1,y1,yaw1,v1,s1,x2,y2,yaw2,v2,s2,speed_ref0,gap01,des01,es01,ev01,tau01,h1,omega_s1,omega_v1,triggered1,trigger_norm1,u_bar1,u_feedback1,a1,solver_status1,solver_value1,solve_time_ms1,fallback_used1,gap12,des12,es12,ev12,tau12,h2,omega_s2,omega_v2,triggered2,trigger_norm2,u_bar2,u_feedback2,a2,solver_status2,solver_value2,solve_time_ms2,fallback_used2,a0,cmd0_throttle,cmd0_brake,cmd0_steer,cmd1_throttle,cmd1_brake,cmd1_steer,cmd2_throttle,cmd2_brake,cmd2_steer
2.2007935770000002,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,1.2876782417297403,14.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.9800000786781311,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.9800000786781311,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
2.300790226,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.09346263855708432,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,1.287679076194791,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,1.2876794338226387,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
2.400658124,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.1516457200051203,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.23000359535218842,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.23000235855612627,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
2.500708119,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.12857435643681345,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.09346193075184063,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.09346212446712956,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
2.600761787,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.09078519791555449,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.15164513885974917,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.15164481103426977,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
2.70068045,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.058691568672721996,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.12857396900653884,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.12857480347160744,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
2.8007266480000004,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.036015775055341336,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.09078615158796352,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.09078601747753876,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
2.900705474,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.021347731351987646,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.05869154632091618,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.05869133770477224,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
3.0006898590000004,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.012345924042555042,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.036015328020759005,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.036015041172540806,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
3.100662708,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.007008457091248734,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.02134859934467994,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.021349182352431672,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
3.20069675,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.003921804484244609,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.012345723810718147,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.012346467934706028,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
3.300744672,WAITING,A,45.119998931884766,170.5399932861328,0.005689576312547984,0.0,24.973,35.119998931884766,170.5399932861328,0.005689576312547984,0.007008323446356361,14.973,25.119998931884766,170.5399932861328,0.005689576312547984,0.00700844731408464,4.973,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0
