s,x,y,yaw,kappa,speed
62.003,82.12,170.19,-0.005692,0.0,3.0
62.503,82.62,170.19,-0.005692,0.0,3.0
63.003,83.12,170.18,-0.005692,0.0,3.0
63.503,83.62,170.18,-0.005692,0.0,3.0
64.003,84.12,170.18,-0.005692,0.0,3.0
64.503,84.62,170.17,-0.005692,0.0,3.0
65.003,85.12,170.17,-0.005692,0.0,3.0
65.503,85.62,170.17,-0.005692,0.0,3.0
66.003,86.12,170.17,-0.005692,0.0,3.0
66.503,86.62,170.16,-0.005692,0.0,3.0
67.003,87.12,170.16,-0.005692,0.0,3.0
67.503,87.62,170.16,-0.005692,0.0,3.0
68.003,88.12,170.15,-0.005692,0.0,3.0
68.503,88.62,170.15,-0.005692,0.0,3.0
69.003,89.12,170.15,-0.005692,0.0,3.0
69.503,89.62,170.15,-0.005692,0.0,3.0
70.003,90.12,170.14,-0.005692,0.0,3.0
70.503,90.62,170.14,-0.005692,0.0,3.0
71.003,91.12,170.14,-0.005692,0.0,3.0
71.503,91.62,170.14,-0.005692,0.0,3.0
72.003,92.12,170.13,-0.005692,0.0,3.0
72.503,92.62,170.13,-0.005692,0.0,3.0
73.003,93.12,170.13,-0.005692,0.0,3.0
73.503,93.62,170.12,-0.005692,0.0,3.0
74.003,94.12,170.12,-0.005692,0.0,3.0
74.503,94.62,170.12,-0.005692,0.0,3.0
75.003,95.12,170.12,-0.005692,0.0,3.0
75.503,95.62,170.11,-0.005692,0.0,3.0
76.003,96.12,170.11,-0.005692,0.0,3.0
76.503,96.62,170.11,-0.005692,0.0,3.0
77.003,97.12,170.1,-0.005692,0.0,3.0
77.503,97.62,170.1,-0.005692,0.0,3.0
78.003,98.12,170.1,-0.005692,0.0,3.0
78.503,98.62,170.1,-0.005692,0.0,3.0
79.003,99.12,170.09,-0.005692,0.0,3.0
79.503,99.62,170.09,-0.005692,0.0,3.0
80.003,100.12,170.09,-0.005692,0.0,3.0
80.503,100.62,170.08,-0.005692,0.0,3.0
81.003,101.12,170.08,-0.005692,0.0,3.0
81.503,101.62,170.08,-0.005692,0.0,3.0
82.003,102.12,170.08,-0.005692,0.0,3.0
82.503,102.62,170.07,-0.005692,0.0,3.0
83.003,103.12,170.07,-0.005692,0.0,3.0
83.503,103.62,170.07,-0.005692,0.0,3.0
84.003,104.12,170.06,-0.005692,0.0,3.0
84.503,104.62,170.06,-0.005692,0.0,3.0
85.003,105.12,170.06,-0.005692,0.0,3.0
85.503,105.62,170.06,-0.005692,0.0,3.0
86.003,106.12,170.05,-0.005692,0.0,3.0
86.503,106.62,170.05,-0.005692,0.0,3.0
87.003,107.12,170.05,-0.005692,0.0,3.0
87.503,107.62,170.04,-0.005692,0.0,3.0
88.003,108.12,170.04,-0.005692,0.0,3.0
88.503,108.62,170.04,-0.005692,0.0,3.0
89.003,109.12,170.04,-0.005692,0.0,3.0
89.503,109.62,170.03,-0.005692,0.0,3.0
90.003,110.12,170.03,-0.005692,0.0,3.0
90.503,110.62,170.03,-0.005692,0.0,3.0
91.003,111.12,170.02,-0.005692,0.0,3.0
91.503,111.62,170.02,-0.005692,0.0,3.0
92.003,112.12,170.02,-0.005692,0.0,3.0
92.503,112.62,170.02,-0.005692,0.0,3.0
93.003,113.12,170.01,-0.005692,0.0,3.0
93.503,113.62,170.01,-0.005692,0.0,3.0
94.003,114.12,170.01,-0.005692,0.0,3.0
94.503,114.62,170.0,-0.005692,0.0,3.0
95.003,115.12,170.0,-0.005692,0.0,3.0
95.503,115.62,170.0,-0.005692,0.0,3.0
96.003,116.12,170.0,-0.005692,0.0,3.0
96.503,116.62,169.99,-0.005692,0.0,3.0
97.003,117.12,169.99,-0.005692,0.0,3.0
97.503,117.62,169.99,-0.005692,0.0,3.0
98.313,118.43,169.98,-0.005692,-0.0,3.0
98.813,118.93,169.98,-0.005692,0.0,3.0
99.313,119.43,169.98,-0.005692,0.0,3.0
99.813,119.93,169.97,-0.005692,0.0,3.0
100.313,120.43,169.97,-0.005692,0.0,3.0
100.813,120.93,169.97,-0.005692,0.0,3.0
101.313,121.43,169.97,-0.005692,0.0,3.0
101.813,121.93,169.96,-0.005692,0.0,3.0
102.313,122.43,169.96,-0.005692,0.0,3.0
102.813,122.93,169.96,-0.005692,0.0,3.0
103.313,123.43,169.95,-0.005692,0.0,3.0
103.813,123.93,169.95,-0.005692,0.0,3.0
104.313,124.43,169.95,-0.005692,0.0,3.0
104.813,124.93,169.95,-0.005692,0.0,3.0
105.313,125.43,169.94,-0.005692,0.0,3.0
105.813,125.93,169.94,-0.005692,0.0,3.0
106.313,126.43,169.94,-0.005692,0.0,3.0
106.813,126.93,169.93,-0.005692,0.0,3.0
107.313,127.43,169.93,-0.005692,0.0,3.0
107.813,127.93,169.93,-0.005692,0.0,3.0
108.313,128.43,169.93,-0.005692,0.0,3.0
108.813,128.93,169.92,-0.005692,0.0,3.0
109.313,129.43,169.92,-0.005692,0.0,3.0
109.813,129.93,169.92,-0.005692,0.0,3.0
110.313,130.43,169.91,-0.005692,0.0,3.0
110.813,130.93,169.91,-0.005692,0.0,3.0
111.313,131.43,169.91,-0.005692,0.0,3.0
111.813,131.93,169.91,-0.005692,0.0,3.0
112.313,132.43,169.9,-0.005692,0.0,3.0
112.813,132.93,169.9,-0.005692,0.0,3.0
113.313,133.43,169.9,-0.005692,0.0,3.0
113.813,133.93,169.89,-0.005692,0.0,3.0
114.313,134.43,169.89,-0.005692,0.0,3.0
114.813,134.93,169.89,-0.005692,0.0,3.0
115.313,135.43,169.89,-0.005692,0.0,3.0
115.813,135.93,169.88,-0.005692,0.0,3.0
116.313,136.43,169.88,-0.005692,0.0,3.0
116.813,136.93,169.88,-0.005692,0.0,3.0
117.313,137.43,169.87,-0.005692,0.0,3.0
117.813,137.93,169.87,-0.005692,0.0,3.0
118.313,138.43,169.87,-0.005692,0.0,3.0
118.813,138.93,169.87,-0.005692,0.0,3.0
119.313,139.43,169.86,-0.005692,0.0,3.0
119.813,139.93,169.86,-0.005692,0.0,3.0
120.313,140.43,169.86,-0.005692,0.0,3.0
121.193,141.31,169.85,-0.005692,0.0,3.0
121.693,141.81,169.85,-0.005692,0.0,3.0
122.193,142.31,169.85,-0.005692,0.0,3.0
122.693,142.81,169.84,-0.005692,0.0,3.0
123.193,143.31,169.84,-0.005692,0.0,3.0
123.693,143.81,169.84,-0.005692,0.0,3.0
124.193,144.31,169.84,-0.005692,0.0,3.0
124.693,144.81,169.83,-0.005692,0.0,3.0
125.193,145.31,169.83,-0.005692,0.0,3.0
125.693,145.81,169.83,-0.005692,0.0,3.0
126.193,146.31,169.82,-0.005692,0.0,3.0
126.693,146.81,169.82,-0.005692,0.0,3.0
127.193,147.31,169.82,-0.005692,0.0,3.0
127.693,147.81,169.82,-0.005692,0.0,3.0
128.193,148.31,169.81,-0.005692,0.0,3.0
128.693,148.81,169.81,-0.005692,0.0,3.0
129.193,149.31,169.81,-0.005692,0.0,3.0
129.693,149.81,169.8,-0.005692,0.0,3.0
130.193,150.31,169.8,-0.005692,0.0,3.0
130.693,150.81,169.8,-0.005692,0.0,3.0
131.193,151.31,169.8,-0.005692,0.0,3.0
131.693,151.81,169.79,-0.005692,0.0,3.0
132.193,152.31,169.79,-0.005692,0.0,3.0
132.693,152.81,169.79,-0.005692,0.0,3.0
133.193,153.31,169.78,-0.005692,0.0,3.0
133.693,153.81,169.78,-0.005692,0.0,3.0
134.193,154.31,169.78,-0.005692,0.0,3.0
134.693,154.81,169.78,-0.005692,0.0,3.0
135.193,155.31,169.77,-0.005692,0.0,3.0
135.693,155.81,169.77,-0.005692,0.0,3.0
136.193,156.31,169.77,-0.005692,0.0,3.0
136.693,156.81,169.76,-0.005692,0.0,3.0
137.193,157.31,169.76,-0.005692,0.0,3.0
137.693,157.81,169.76,-0.005692,0.0,3.0
138.193,158.31,169.76,-0.005692,0.0,3.0
138.693,158.81,169.75,-0.005692,0.0,3.0
139.193,159.31,169.75,-0.005692,0.0,3.0
139.693,159.81,169.75,-0.005692,0.0,3.0
140.193,160.31,169.74,-0.005692,0.0,3.0
140.693,160.81,169.74,-0.005692,0.0,3.0
141.193,161.31,169.74,-0.005692,0.0,3.0
141.693,161.81,169.74,-0.005692,0.0,3.0
142.193,162.31,169.73,-0.005692,0.0,3.0
142.693,162.81,169.73,-0.005692,0.0,3.0
143.193,163.31,169.73,-0.005692,0.0,3.0
143.693,163.81,169.72,-0.005692,0.0,3.0
144.193,164.31,169.72,-0.005692,0.0,3.0
144.693,164.81,169.72,-0.005692,0.0,3.0
145.193,165.31,169.72,-0.005692,0.0,3.0
145.693,165.81,169.71,-0.005692,0.0,3.0
146.193,166.31,169.71,-0.005692,0.0,3.0
146.693,166.81,169.71,-0.005692,0.0,3.0
147.193,167.31,169.7,-0.005692,0.0,3.0
147.693,167.81,169.7,-0.005692,0.0,3.0
148.193,168.31,169.7,-0.005692,0.0,3.0
148.693,168.81,169.7,-0.005692,0.0,3.0
149.193,169.31,169.69,-0.005692,0.0,3.0
149.693,169.81,169.69,-0.005692,0.0,3.0
150.193,170.31,169.69,-0.005692,0.0,3.0
150.693,170.81,169.68,-0.005692,0.0,3.0
151.193,171.31,169.68,-0.005692,0.0,3.0
151.693,171.81,169.68,-0.005692,0.0,3.0
152.193,172.31,169.68,-0.005692,0.0,3.0
152.693,172.81,169.67,-0.005692,0.0,3.0
153.193,173.31,169.67,-0.005692,0.0,3.0
153.693,173.81,169.67,-0.005692,0.0,3.0
154.193,174.31,169.66,-0.005692,0.0,3.0
154.693,174.81,169.66,-0.005692,0.0,3.0
155.193,175.31,169.66,-0.005692,0.0,3.0
155.693,175.81,169.66,-0.005692,0.0,3.0
156.193,176.31,169.65,-0.005692,0.0,3.0
156.693,176.81,169.65,-0.005692,0.0,3.0
157.193,177.31,169.65,-0.005692,0.0,3.0
157.693,177.81,169.64,-0.005692,0.0,3.0
158.193,178.31,169.64,-0.005692,0.0,3.0
158.693,178.81,169.64,-0.005692,0.0,3.0
159.193,179.31,169.64,-0.005692,0.0,3.0
159.693,179.81,169.63,-0.005692,0.0,3.0
160.193,180.31,169.63,-0.005692,0.0,3.0
160.693,180.81,169.63,-0.005692,0.0,3.0
161.193,181.31,169.62,-0.005692,0.0,3.0
161.693,181.81,169.62,-0.005692,0.0,3.0
162.193,182.31,169.62,-0.005692,0.0,3.0
162.693,182.81,169.62,-0.005692,0.0,3.0
163.193,183.31,169.61,-0.005692,0.0,3.0
163.693,183.81,169.61,-0.005692,0.0,3.0
164.193,184.31,169.61,-0.005692,0.0,3.0
164.693,184.81,169.6,-0.005692,0.0,3.0
165.193,185.31,169.6,-0.005692,0.0,3.0
165.693,185.81,169.6,-0.005692,0.0,3.0
166.193,186.31,169.6,-0.005692,0.0,3.0
166.693,186.81,169.59,-0.005692,0.0,3.0
167.193,187.31,169.59,-0.005692,0.0,3.0
167.693,187.81,169.59,-0.005692,0.0,3.0
168.193,188.31,169.58,-0.005692,0.0,3.0
168.693,188.81,169.58,-0.005692,0.0,3.0
169.193,189.31,169.58,-0.005692,0.0,3.0
169.693,189.81,169.58,-0.005692,0.0,3.0
170.193,190.31,169.57,-0.005692,0.0,3.0
171.103,191.22,169.57,-0.005692,0.0,3.0
171.603,191.72,169.57,-0.005692,0.0,3.0
172.103,192.22,169.56,-0.005692,0.0,3.0
172.603,192.72,169.56,-0.005692,0.0,3.0
173.103,193.22,169.56,-0.005692,0.0,3.0
173.603,193.72,169.55,-0.005692,0.0,3.0
174.103,194.22,169.55,-0.005692,0.0,3.0
174.603,194.72,169.55,-0.005692,0.0,3.0
175.103,195.22,169.55,-0.005692,0.0,3.0
175.603,195.72,169.54,-0.005692,0.0,3.0
176.103,196.22,169.54,-0.005692,0.0,3.0
176.603,196.72,169.54,-0.005692,0.0,3.0
177.103,197.22,169.53,-0.005692,0.0,3.0
177.603,197.72,169.53,-0.005692,0.0,3.0
178.103,198.22,169.53,-0.005692,0.0,3.0
178.603,198.72,169.53,-0.005692,0.0,3.0
179.103,199.22,169.52,-0.005692,0.0,3.0
179.603,199.72,169.52,-0.005692,0.0,3.0
180.103,200.22,169.52,-0.005692,0.0,3.0
180.603,200.72,169.51,-0.005692,0.0,3.0
181.103,201.22,169.51,-0.005692,0.0,3.0
181.603,201.72,169.51,-0.005692,0.0,3.0
182.103,202.22,169.51,-0.005692,0.0,3.0
182.603,202.72,169.5,-0.005692,0.0,3.0
183.103,203.22,169.5,-0.005692,0.0,3.0
183.603,203.72,169.5,-0.005692,0.0,3.0
184.103,204.22,169.49,-0.005692,0.0,3.0
184.603,204.72,169.49,-0.005692,0.0,3.0
185.103,205.22,169.49,-0.005692,0.0,3.0
185.603,205.72,169.49,-0.005692,0.0,3.0
186.103,206.22,169.48,-0.005692,0.0,3.0
186.603,206.72,169.48,-0.005692,0.0,3.0
187.103,207.22,169.48,-0.005692,0.0,3.0
187.603,207.72,169.47,-0.005692,0.0,3.0
188.103,208.22,169.47,-0.005692,0.0,3.0
188.603,208.72,169.47,-0.005692,0.0,3.0
189.103,209.22,169.47,-0.005692,0.0,3.0
189.603,209.72,169.46,-0.005692,0.0,3.0
190.463,210.58,169.46,-0.005692,0.0,3.0
190.963,211.08,169.46,-0.005692,0.0,3.0
191.463,211.58,169.45,-0.005692,0.0,3.0
191.963,212.08,169.45,-0.005692,0.0,3.0
192.463,212.58,169.45,-0.005692,0.0,3.0
192.963,213.08,169.44,-0.005692,0.0,3.0
193.463,213.58,169.44,-0.005692,0.0,3.0
193.963,214.08,169.44,-0.005692,0.0,3.0
194.463,214.58,169.44,-0.005692,0.0,3.0
194.963,215.08,169.43,-0.005692,0.0,3.0
195.463,215.58,169.43,-0.005692,0.0,3.0
195.963,216.08,169.43,-0.005692,0.0,3.0
196.463,216.58,169.42,-0.005692,0.0,3.0
196.963,217.08,169.42,-0.005692,0.0,3.0
197.463,217.58,169.42,-0.005692,0.0,3.0
197.963,218.08,169.42,-0.005692,0.0,3.0
198.463,218.58,169.41,-0.005692,0.0,3.0
198.963,219.08,169.41,-0.005692,0.0,3.0
199.463,219.58,169.41,-0.005692,0.0,3.0
199.963,220.08,169.4,-0.005692,0.0,3.0
200.463,220.58,169.4,-0.005692,0.0,3.0
200.963,221.08,169.4,-0.005692,0.0,3.0
201.463,221.58,169.4,-0.005692,0.0,3.0
201.963,222.08,169.39,-0.005692,0.0,3.0
202.463,222.58,169.39,-0.005692,0.0,3.0
202.963,223.08,169.39,-0.005692,0.0,3.0
203.463,223.58,169.38,-0.005692,0.0,3.0
203.963,224.08,169.38,-0.005692,0.0,3.0
204.463,224.58,169.38,-0.005692,0.0,3.0
204.963,225.08,169.38,-0.005692,0.0,3.0
205.463,225.58,169.37,-0.005692,0.0,3.0
205.963,226.08,169.37,-0.005692,0.0,3.0
206.463,226.58,169.37,-0.005692,0.0,3.0
206.963,227.08,169.36,-0.005692,0.0,3.0
207.463,227.58,169.36,-0.005692,0.0,3.0
207.963,228.08,169.36,-0.005692,0.0,3.0
208.463,228.58,169.36,-0.005692,0.0,3.0
208.963,229.08,169.35,-0.005692,0.0,3.0
209.463,229.58,169.35,-0.005692,0.0,3.0
209.963,230.08,169.35,-0.005692,0.0,3.0
